step,ss_mse,ss_mse_db,family,snr_db,seed
376000,0.0031874131190468506,-24.965616440477024,time_varying,0.0,7
376000,0.005111211810398017,-22.914761212722507,gaussian,20.0,7
376000,0.0034048883241612274,-24.67897127675306,gaussian,10.0,7
380000,0.007281572092015029,-21.377748462895614,colored,10.0,7
380000,0.01717663921425104,-17.65061806340163,gaussian,5.0,7
380000,0.003062897695929492,-25.138675087112162,time_varying,0.0,7
380000,0.000969942213283544,-30.132541386877143,time_varying,0.0,7
384000,0.0010629831090061116,-29.73473636031191,impulsive,15.0,7
384000,0.000912866994487444,-30.39592494463186,colored,20.0,7
384000,0.050830877359406744,-12.938723941435509,gaussian,0.0,7
384000,0.0013586887699397051,-28.66880013865854,colored,15.0,7
388000,0.04626387806877672,-13.347579653027008,time_varying,5.0,7
388000,0.0009082266889231471,-30.41805739699941,impulsive,20.0,7
388000,0.01822136616766564,-17.3941906439541,time_varying,20.0,7
388000,0.015492913534874227,-18.098669028625608,impulsive,5.0,7
392000,0.03504532086834096,-14.553699593315642,gaussian,20.0,7
392000,0.14861496506189287,-8.27937456275323,time_varying,0.0,7
392000,0.0024437840916024,-26.119371664873455,colored,10.0,7
392000,0.00397002195872447,-24.0120709097976,colored,10.0,7
396000,0.06571866063629377,-11.823112961767189,gaussian,10.0,7
396000,0.04385175550970655,-13.580130159045114,impulsive,5.0,7
396000,0.013336144323209165,-18.749697132049096,time_varying,0.0,7
396000,0.06902094997691478,-11.610190675405175,impulsive,15.0,7
400000,0.0013207907381270053,-28.791659848392506,time_varying,20.0,7
400000,0.01579924898270893,-18.013635567153848,impulsive,5.0,7
400000,0.15588332343586678,-8.072003436099994,impulsive,0.0,7
400000,0.061363865833588306,-12.120872882744589,impulsive,0.0,7
404000,0.030488481840618628,-15.158642005681337,gaussian,5.0,7
404000,0.09185362056210716,-10.369037205820247,time_varying,5.0,7
404000,0.0010296637017102395,-29.873045965623753,time_varying,0.0,7
404000,0.07999882760638787,-10.969163776002187,gaussian,0.0,7
408000,0.012187461438587024,-19.140867453734945,colored,15.0,7
408000,0.019478926746965265,-17.104349756030377,time_varying,5.0,7
408000,0.0035940003246714373,-24.44421887873316,time_varying,0.0,7
408000,0.040878452981552446,-13.885055481437396,gaussian,15.0,7
